"0 nothing
","1 someone
"
1,[0.00125909 0.998741  ]
1,[0.00131974 0.9986803 ]
1,[0.0002903  0.99970967]
1,[0.0010474 0.9989526]
1,[0.00122825 0.9987717 ]
1,[0.00022935 0.9997707 ]
1,[0.00062023 0.99937975]
1,[0.00170841 0.99829155]
1,[0.00004848 0.9999515 ]
1,[0.00001256 0.9999875 ]
1,[0.00000002 1.        ]
1,[0.00000226 0.99999774]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0.00000001 1.        ]
1,[0.00000001 1.        ]
1,[0.00000001 1.        ]
1,[0.00000006 1.        ]
1,[0.00000079 0.99999917]
1,[0.00000001 1.        ]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0.00000001 1.        ]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0.00000017 0.9999999 ]
1,[0.00000891 0.99999106]
1,[0.00911064 0.9908894 ]
1,[0.2144566 0.7855434]
0,[0.58353823 0.4164618 ]
0,[0.7372213  0.26277876]
1,[0.21155322 0.7884468 ]
1,[0.2924526 0.7075474]
0,[0.57627016 0.4237298 ]
1,[0.4095276  0.59047246]
1,[0.40316173 0.5968383 ]
0,[0.59125704 0.408743  ]
1,[0.40399626 0.5960037 ]
0,[0.51689863 0.48310143]
0,[0.6040632  0.39593682]
0,[0.6309174 0.3690826]
1,[0.49207675 0.5079233 ]
1,[0.3035478 0.6964522]
0,[0.80062765 0.19937234]
1,[0.14433971 0.8556603 ]
1,[0.00000065 0.9999994 ]
1,[0.00000001 1.        ]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0. 1.]
1,[0.00000001 1.        ]
1,[0. 1.]
1,[0.00000002 1.        ]
1,[0.00000375 0.9999963 ]
1,[0.00000002 1.        ]
1,[0.00000363 0.9999964 ]
1,[0.00000009 0.9999999 ]
1,[0. 1.]
1,[0.00000003 1.        ]
1,[0.00000007 0.9999999 ]
1,[0.00000006 0.9999999 ]
1,[0.00000004 1.        ]
1,[0.00000003 1.        ]
1,[0.00000022 0.99999976]
1,[0.00000027 0.99999976]
1,[0.00000052 0.9999995 ]
1,[0.00000066 0.9999993 ]
1,[0.00000081 0.99999917]
1,[0.00000095 0.99999905]
1,[0.00000271 0.99999726]
1,[0.00000754 0.9999925 ]
1,[0.00000207 0.999998  ]
1,[0.00000103 0.9999989 ]
1,[0.00000045 0.9999995 ]
1,[0.00000285 0.99999714]
1,[0.00001099 0.99998903]
1,[0.0000025 0.9999975]
1,[0.00000165 0.99999833]
1,[0.00000151 0.99999845]
1,[0.00000082 0.99999917]
1,[0.0000001 0.9999999]
1,[0.00000001 1.        ]
1,[0.00000001 1.        ]
1,[0.00000524 0.99999475]
1,[0.00008035 0.99991965]
1,[0.00000914 0.9999908 ]
1,[0.00000491 0.9999951 ]
1,[0.00122298 0.998777  ]
1,[0.00002165 0.9999783 ]
1,[0.00002011 0.99997985]
1,[0.00005244 0.99994755]
1,[0.00007383 0.9999262 ]
1,[0.00002008 0.99998   ]
1,[0.0000874 0.9999126]
1,[0.00043094 0.999569  ]
1,[0.00004818 0.99995184]
1,[0.00004379 0.99995625]
1,[0.00008321 0.9999168 ]
1,[0.00009025 0.99990976]
1,[0.00011912 0.9998809 ]
1,[0.00003262 0.99996734]
1,[0.00007142 0.9999286 ]
1,[0.00006746 0.9999325 ]
1,[0.00024292 0.9997571 ]
1,[0.00005056 0.99994946]
1,[0.00002968 0.9999703 ]
1,[0.00004093 0.9999591 ]
1,[0.00033116 0.99966884]
1,[0.00139676 0.9986033 ]
1,[0.00072823 0.9992718 ]
1,[0.00338091 0.9966191 ]
1,[0.01261009 0.9873899 ]
1,[0.0823522  0.91764784]
1,[0.02214477 0.9778552 ]
1,[0.0109733 0.9890267]
1,[0.01262072 0.98737925]
1,[0.01470655 0.98529345]
1,[0.02509212 0.97490793]
1,[0.00173039 0.99826956]
1,[0.00000043 0.9999995 ]
1,[0.00000002 1.        ]
1,[0.00000001 1.        ]
1,[0. 1.]
1,[0.00000009 0.9999999 ]
1,[0.00000011 0.9999999 ]
1,[0.0000005 0.9999995]
1,[0.00000003 1.        ]
1,[0.00000072 0.9999993 ]
1,[0.00000023 0.99999976]
1,[0.00000004 1.        ]
1,[0.00000006 0.9999999 ]
1,[0.00000015 0.9999999 ]
1,[0.00000007 0.9999999 ]
1,[0.0000013 0.9999987]
1,[0.00000008 0.9999999 ]
1,[0.00000018 0.9999999 ]
1,[0.00000389 0.99999607]
